"","Hora","Zona","N","Temperatura","sd","se","ci","Hum_Rel","HR_sd","HR_se","HR_ci"
"14","14","Fuera",18,34.3833333333333,3.61487938127629,0.852035241223966,1.79763722479729,42.2666666666667,1.81723772280251,0.428327038940553,0.903691059163996
"15","15","Dentro",18,34.1611111111111,2.75555884988207,0.649491449570072,1.37030717797248,49.7222222222222,2.97727778457704,0.701751103650161,1.48056541024283
"16","15","Fuera",18,34.8944444444444,3.5789371117237,0.843563567046676,1.77976355464772,47.3833333333333,8.21628583614132,1.93659714363417,4.08586282162688
"17","16","Dentro",18,33.3888888888889,4.180611957581,0.985379688238365,2.07896941632584,49.4944444444444,5.80217730148851,1.3675863051764,2.88535489069267
"18","16","Fuera",18,34.9055555555556,2.96577977489945,0.699040996779104,1.47484758454868,49.2666666666667,8.70625197943477,2.05208327112571,4.32951725243217
"19","17","Dentro",18,28.0277777777778,2.36538905034185,0.557527545880377,1.1762803013696,56.5,4.56804759427147,1.07669914356408,2.2716366257313
"20","17","Fuera",18,31.2277777777778,3.15031381360381,0.742536086821637,1.56661420307968,54.7111111111111,4.65970068325384,1.09830198380946,2.31721463460643
"21","18","Dentro",18,24.3333333333333,0.920357986616845,0.216930457818656,0.457683259212314,63.7055555555556,2.27246231372938,0.535624504009638,1.13006892242878
"22","18","Fuera",18,28.0333333333333,3.62377768438992,0.854132591381532,1.80206224683189,59.5722222222222,2.53790222672551,0.598189291502016,1.26206908570403
"23","19","Dentro",18,22.75,0.371404330172103,0.0875408401422471,0.184695028228729,68.2777777777778,1.3188923853685,0.310865916449789,0.655869753143195
"24","19","Fuera",18,25.6888888888889,2.80081687430626,0.660158868227889,1.39281346403201,62.7833333333333,5.09108216856287,1.19997957498957,2.5317356003948
"25","2","Dentro",18,20.1555555555556,0.512459148698672,0.120787779708639,0.254839939241185,79.2333333333333,0.700420042042,0.165090587135622,0.348310692492383
"26","2","Fuera",18,20.6222222222222,0.212977644658267,0.0501993122596665,0.105911291001963,77.5111111111111,1.0867592887268,0.256151620858731,0.540432679975004
"27","20","Dentro",18,21.9611111111111,0.389779558949881,0.0918719231004541,0.193832814522843,71.35,1.11157016660853,0.261999600857851,0.552770839276006
"28","20","Fuera",18,23.8333333333333,2.2032062198212,0.519300686129317,1.09562867717516,65.5555555555556,7.0538451943705,1.66260725679317,3.50779469020095
"29","21","Dentro",18,21.2722222222222,0.373859922738538,0.0881196288607662,0.185916165683335,74.3888888888889,1.12348663642352,0.264808339729178,0.558696760300796
"30","21","Fuera",18,22.5111111111111,1.86386344137777,0.439316826201305,0.926877483523805,67.7611111111111,8.42231901060152,1.9851596285709,4.18832070884469
"31","22","Dentro",18,20.6944444444444,0.494049559579058,0.116448597940193,0.245685065951068,76.2333333333333,0.920996902338791,0.217081051698521,0.45800098452598
"32","22","Fuera",18,21.5666666666667,1.66698036263531,0.39291103950808,0.82896983185683,69.2,9.35238252123647,2.20437770033895,4.6508304116035
"33","23","Dentro",18,20.1833333333333,0.406201920231798,0.0957427107756338,0.201999462658422,77.5,1.15198039198999,0.271524382323353,0.572866371587379
"34","23","Fuera",18,21.2055555555556,1.37090447696669,0.323125284007382,0.681734757790588,70.2166666666667,9.88619060639043,2.33019747262714,4.91628692717656
"35","3","Dentro",18,20.2666666666667,0.28491484796029,0.0671550736844851,0.141684820590071,79.25,0.573174852697419,0.135098608382648,0.285033148509314
"36","3","Fuera",18,20.6111111111111,0.239825644728166,0.0565274465632408,0.119262487334266,77.2555555555556,1.46778032585511,0.345959140568115,0.729909984064436
"37","4","Dentro",18,20.3111111111111,0.265438347530777,0.0625644185086546,0.131999384787643,79.45,0.588367632172468,0.138679580846608,0.292588339997569
"38","4","Fuera",18,20.5166666666667,0.318544483919112,0.0750816548962578,0.15840844510963,77.1388888888889,1.69398204341094,0.399275396701373,0.842397451806133
"39","5","Dentro",18,20.2166666666667,0.235771574398013,0.0555718930226211,0.117246445588813,79.7111111111111,0.823828143763927,0.194178155662599,0.409680097691895
"40","5","Fuera",18,20.4611111111111,0.401671344859259,0.0946748439194341,0.19974646053016,77.0388888888889,1.76306514139735,0.415558439051895,0.876751668211785
"41","6","Dentro",18,19.9555555555556,0.363354019918384,0.0856433638185604,0.180691703122445,80.5166666666667,1.92483765549202,0.453688586293874,0.95719924684799
"42","6","Fuera",18,20.4388888888889,0.377513363828727,0.0889807531839457,0.18773297919483,77.2333333333333,1.86705178100158,0.440068325057547,0.928463007517427
"43","7","Dentro",18,20.4888888888889,0.523437606696897,0.123375427074478,0.260299397963571,80.1388888888889,2.44712049004753,0.576791830964385,1.21692439013566
"44","7","Fuera",18,21.1611111111111,0.593235286016571,0.139826897860486,0.295008967306162,76.6388888888889,2.20644480846688,0.520064028793596,1.09723918941948
"45","8","Dentro",18,21.9333333333333,0.451142340913271,0.106335269513382,0.224347808092438,77.4222222222222,1.65478114975811,0.390035657457878,0.82290330601509
"46","8","Fuera",18,23.4388888888889,1.68353231206046,0.396812371401539,0.837200922659947,72.9611111111111,3.47023289418294,0.817941737257791,1.72570621902653
"47","9","Dentro",18,24.2833333333333,1.35266621246815,0.318826483839385,0.672665082230157,73.2666666666667,2.09817848172563,0.494545410855963,1.04339961176989
"48","9","Fuera",18,27.8277777777778,3.51480993638189,0.828448646865832,1.74787386059246,64.4388888888889,7.32040973530925,1.72543712163373,3.64035411779472
